antenna_lon	antenna_lat	weight
-4.143452	5.342044	4.321928094887363
-3.913602	5.341612	3.1699250014423126
-4.070007	5.451365	2.0
-3.496235	6.72941	6.965784284662088
-3.485944	6.729422	6.569855608330948
-3.911705	5.85801	2.584962500721156
-4.014445	5.42112	7.375039431346925
-4.0216	5.446905	5.832890014164742
-4.006585	5.435913	4.807354922057604
-4.018753	5.420699	5.614709844115208
-3.997226	5.417191	5.554588851677638
-3.99805	5.407898	5.672425341971496
-3.211737	5.469107	6.375039431346925
-4.095467	6.66473	2.0
-3.543346	6.221734	2.0
-3.164583	5.29179	2.807354922057604
-4.110951	5.315826	4.754887502163469
-5.222521	5.31805	1.0
-3.267292	5.422211	2.807354922057604
-4.643405	5.175587	0.0
-5.829559	5.503682	0.0
-3.312813	5.30441	2.584962500721156
-4.196007	5.318276	2.321928094887362
-4.025873	5.349383	7.238404739325079
-6.850079	4.770215	1.5849625007211563
-3.886351	5.241777	5.700439718141093
-3.854787	6.091386	4.0
-3.389103	6.65709	2.0
-2.919295	5.414372	2.584962500721156
-4.030648	5.362591	5.930737337562887
-4.210628	5.92858	6.643856189774725
-4.023072	5.323831	6.832890014164742
-3.953847	5.362749	5.832890014164742
-4.217436	5.928619	6.714245517666122
-4.480228	6.48586	0.0
-3.204848	7.127898	4.807354922057604
-3.944274	5.979019	2.0
-3.855413	6.358537	3.0
-4.938259	6.257808	3.700439718141092
-6.088081	6.046795	1.0
-4.889781	5.526307	0.0
-5.312954	7.65729	2.0
-5.057637	7.682969	5.930737337562887
-3.802443	5.477023	1.5849625007211563
-5.023201	7.661988	5.08746284125034
-3.960562	5.289332	4.169925001442312
-4.011552	5.450978	5.392317422778761
-4.039695	5.327666	4.523561956057013
-5.074323	7.234814	1.0
-5.326043	6.839458	3.0
-3.940107	5.35375	4.584962500721157
-5.502224	6.346656	3.4594316186372978
-3.886707	6.379913	3.700439718141092
-4.362741	5.44985	0.0
-4.362966	5.206767	2.584962500721156
-3.66106	5.497098	0.0
-3.850767	5.234282	2.584962500721156
-3.961963	5.349939	4.392317422778761
-2.901394	5.272661	1.5849625007211563
-5.047979	7.917161	2.321928094887362
-4.069722	5.326284	5.285402218862249
-3.957629	5.310841	5.247927513443585
-4.088085	5.321261	5.357552004618084
-3.960988	5.363379	5.807354922057605
-3.576687	6.822775	0.0
-3.97537	5.303743	4.584962500721157
-5.973374	6.121154	4.584962500721157
-4.020957	5.396149	4.906890595608519
-4.099931	5.34533	3.5849625007211565
-3.765255	6.230481	1.0
-4.006379	5.342979	5.247927513443585
-6.918692	7.662726	1.0
-4.063918	6.778021	2.807354922057604
-5.557924	7.485534	0.0
-4.067051	5.366841	3.700439718141092
-3.984856	5.404333	6.523561956057013
-4.010147	5.42625	4.807354922057604
-5.029667	6.681041	3.1699250014423126
-3.987795	5.387504	6.845490050944376
-3.671596	6.651527	1.5849625007211563
-3.968803	5.348878	6.129283016944967
-3.972668	5.338835	5.392317422778761
-3.963821	5.304552	4.857980995127573
-4.049611	5.493694	5.491853096329675
-3.415245	6.560297	0.0
-3.17258	5.98135	3.4594316186372978
-3.333329	6.299667	3.3219280948873626
-3.354502	6.986765	2.0
-4.007751	5.329997	6.266786540694902
-4.059797	7.139565	1.5849625007211563
-3.945723	6.669894	0.0
-3.761142	5.210271	5.491853096329675
-5.149748	7.610253	2.807354922057604
-5.392878	7.352591	1.0
-3.507525	5.143694	2.321928094887362
-4.984303	6.49995	3.5849625007211565
-4.019877	5.32314	7.562242424221073
-3.387237	5.145088	3.1699250014423126
-4.08183	5.331853	5.426264754702098
-5.118239	6.783518	1.5849625007211563
-3.983764	5.545714	3.4594316186372978
-4.179349	5.45614	2.807354922057604
-3.979273	5.366714	6.149747119504682
-4.045171	6.06715	1.0
-5.250039	6.802218	4.0
-7.564386	9.502505	3.5849625007211565
-4.045033	5.632944	3.3219280948873626
-4.088991	5.526551	3.5849625007211565
-4.088784	5.312996	4.247927513443585
-6.780258	7.125523	1.0
-6.65866	4.76788	5.491853096329675
-5.94555	6.148645	4.807354922057604
-4.018886	5.318739	7.906890595608519
-5.356928	5.842847	6.022367813028454
-5.152683	9.190529	1.0
-4.057111	5.333743	5.832890014164742
-4.111707	5.369141	1.5849625007211563
-3.88921	5.346685	5.672425341971496
-7.214502	6.897852	1.0
-6.522211	6.180779	3.5849625007211565
-5.808089	6.493828	2.0
-6.459591	7.237881	2.321928094887362
-6.036916	5.548626	1.5849625007211563
-6.42959	6.320125	2.321928094887362
-6.003071	5.414547	3.0
-6.346468	5.20854	2.321928094887362
-5.625662	9.474096	6.442943495848729
-4.073871	5.333064	6.569855608330948
-6.189007	7.188134	2.0
-4.022178	5.347719	5.554588851677638
-3.962161	5.297789	5.169925001442312
-6.66898	4.772571	5.906890595608519
-4.091508	5.338455	4.523561956057013
-5.29165	6.824332	5.857980995127572
-3.741967	5.208949	5.643856189774724
-5.989317	6.008171	2.584962500721156
-5.958943	6.46199	2.321928094887362
-3.84168	6.47148	2.0
-6.277189	7.168953	1.5849625007211563
-3.599589	5.275466	5.584962500721157
-6.856408	6.870535	2.0
-4.005653	5.406751	5.247927513443585
-3.981183	5.347603	5.906890595608519
-4.458363	6.779429	0.0
-5.570656	7.679088	5.285402218862249
-3.960442	5.336617	3.5849625007211565
-4.023854	5.356878	7.651051691178929
-3.410267	6.078371	1.0
-4.014304	5.342935	6.599912842187128
-3.981093	5.444594	3.8073549220576037
-4.004623	5.311905	6.022367813028454
-7.61935	7.732864	1.5849625007211563
-3.194078	6.00951	3.0
-3.754619	6.802551	1.0
-4.023901	5.333848	7.45121111183233
-6.219751	6.637728	1.5849625007211563
-4.031213	5.346444	6.129283016944967
-6.145423	6.208062	2.584962500721156
-4.360453	5.938451	2.321928094887362
-4.693509	5.820192	1.5849625007211563
-3.99589	5.400109	6.066089190457772
-5.015629	6.562483	6.10852445677817
-3.889793	5.355916	6.129283016944967
-6.034083	7.338732	2.807354922057604
-4.026443	5.355336	7.794415866350106
-6.580547	4.934835	1.5849625007211563
-3.869922	5.348026	5.392317422778761
-5.712812	6.316644	1.5849625007211563
-7.170058	7.15516	0.0
-7.468959	4.52897	0.0
-3.998233	5.324333	5.857980995127572
-7.983435	6.594375	0.0
-4.672973	5.905593	3.4594316186372978
-5.487001	7.897072	1.0
-6.20083	6.385569	0.0
-6.525366	6.654184	0.0
-4.053861	5.325659	5.08746284125034
-3.981421	5.398935	4.954196310386876
-4.808063	7.198303	1.0
-3.776135	6.582961	2.0
-2.801975	8.042674	5.7279204545632
-3.526192	5.488762	3.1699250014423126
-4.204861	6.6585	5.285402218862249
-3.956538	5.370529	4.584962500721157
-4.106718	5.344941	0.0
-6.051272	6.924573	4.0
-3.596764	5.261879	6.321928094887362
-6.485888	7.145734	1.5849625007211563
-3.964356	5.360864	6.794415866350106
-3.512154	6.734689	6.169925001442312
-4.014864	5.317638	7.491853096329675
-5.295145	7.877907	1.0
-5.854713	7.263305	2.0
-5.753299	6.98254	6.820178962415189
-5.031158	7.681516	7.569855608330948
-5.672175	8.211383	0.0
-3.804281	6.251303	2.321928094887362
-5.31967	5.634025	1.0
-2.982898	9.277208	0.0
-4.024002	5.359853	5.882643049361842
-3.815094	5.296401	2.584962500721156
-4.015951	5.433888	5.321928094887363
-4.162748	5.309044	3.3219280948873626
-4.846348	7.600497	2.321928094887362
-6.379644	6.498782	2.321928094887362
-4.040343	6.912917	2.584962500721156
-5.526901	5.519589	0.0
-4.221507	6.654994	4.700439718141093
-7.004209	6.25824	5.672425341971496
-7.014496	6.247475	5.321928094887363
-5.261862	6.821173	6.22881869049588
-3.987618	5.419455	5.459431618637297
-3.495588	6.715023	4.906890595608519
-5.278736	6.867756	3.700439718141092
-3.937196	5.306728	5.882643049361842
-3.988471	5.341687	4.906890595608519
-5.027187	7.651894	4.321928094887363
-6.613363	4.736188	3.1699250014423126
-4.028446	5.330621	5.882643049361842
-4.015731	5.357661	6.409390936137703
